text
1,British Association for the Advancement of Science,영국과학진흥협회,BAAS
2,Bangladesh Atomic Energy Commission,방글라데시위원회 (1993년 2월 설립),BAEC
3,boric acid evaporator package,붕산증발 회수장치,BAEvap
4,bioaccumulation factor,생물학적 집적계수,BAF
5,Beratender Auschuss fur Forschung and Technologie,연구개발자문위훤회,BAFT
6,Badan Koordinasi Energi Nasional (National Energy Coordination Bord),국가에너지 조정위원회 (인도네시아),BAKOREN
7,Build Absolutely Nothing Anywhere Near Anybody,"어디든지 아무것도 짓지말라는 지역 이기주의현상, NIMBY와 같은 용어",BANANA
8,Boiling Nuclear Superheat Reactor,비등 핵과열로 (미국),BONUS
9,boiling nuclear superheat critical experiment,비등수 핵과열 임계실험,BONUS-CX
10,build-operate-owner,건설-운영-소유방식,BOO
11,build-own-operation-transfer,건설-소유-운영-인도방식,BOOT
12,balance of plant,보조설비부문 (원자로부문 이외의 원자력발전소 구성플랜트),BOP
13,build-operation-transfer,건설-운전-인도 (일괄건설운전후 인도방식),BOT
14,build-operate-[own-scale]-transfer,일괄건설운영후 인도방식 (개송국협력의 한 형태),BO[OS]T
15,ARAL emergency response operating system,ARAL긴급응답 작동체계,AEROS
16,Atomic Energy Society of Japan,(사) 일본원자력학회,AESJ
17,advanced epithermal thorium reactor,개량형 에피서멀토륨로,AETR
18,corss setion reactor physics computer code,단면적로물리 전산코드,AETRA
19,availability factor,가동률,AF
20,advanced fuel assembly,개량형 핵연료집합체,AFA
21,adjustable fixed-commitment contract,조정가능확정량 계약방식(미국의 농축용역 계약방식),AFCC
22,Air Pollution Control Association,공기오염통제협회 (미국),APCA
23,air pollution control district,공기오염통제구역,APCD
24,alarm pocket dosimeter,알람포켓선선량계,APD
25,Atomic Power Development Associates,원자력발전개발연합 (미국),APDA
26,axial power distribution monitoring system,축방향 출력분포 감식계통,APDMS
27,Asia-Pacific Economic Cooperation Minister Conference,아시아-태평양경제협력각료회의,APEC
28,actual protection factor,실효방호인자,APF
29,branch arm piping,분기배관,BAP
30,branch arm piping enclosure,분기배관 폐쇄,BAPE
31,National Nluclear Regulatory Agency,"원자력규제청 (BATAN의 규제조직의 1998년 5월 28일 변경, 인도네시아)",BAPETEN
32,Batties Atomic Power Laboratory,배티스원자력연구소 (미국),BAPL
33,branch arm piping shielding,분기배관 차폐,BAPS
34,Bhabha Atomic Research Centre,바바원자력연구소 (인도),BARC
35,best available radionuclide control technology,최저핵균조절기술,BARCT
36,blue print,청사진,B/P
37,Before the Present,방사성탄소 연대측정으로 결정된 연대,B.P.
38,burnable poison,가열성 독물질,BP
39,Bechtel Power Corp.,회사명 (미국),BPC
40,transmission chain burnup reactor computer code,연쇄번업전달 노전산코드,BPD
41,blue print files,청사진파일,BPF
42,book-physical inventory difference,기록재고/현물질사량의 차이,"BPID, B/PID"
43,African Commission on Muclear Energy,아프리카 원자력위원회,AFCONE
44,axial flux difference,축방향 중성자속 편차,AFD
45,Analytic Function Expansion Nodal Method,해석함수전개 노달법,AFEN
46,atomic force microscope,원자력현미경,AFM
47,air force nuclear engineering test facility,미공군 핵공학시험시설,AFNETF
48,air force nuclear engineering test reactor,미공군 핵공학시험로,AFNETR
49,auxiliary feedwater pumps,보조급수펌프,AFP
50,American Public Health Association,미국공중보건학회,APHA
51,American Petroleum Institute,미국석유협회,API
52,Applied Physics Laboratory,"응용물리연구소 (시카고대학, 미국)",APL
53,air particulate monitor,공기립자모니터,APM
54,Asia-Pacific Nuclear Association,아시아-태평양원자력협회 (구상중),APNA
55,Asia PWR Organization,"아시아APWR 추진기구 (일본의 히다지, 도시마 합작)",APO
56,Atomic Power Plant,"원자력발전소 (=NPP, SPA)",APP
57,boric acid tank,붕산탱크,BAT
58,Badan Tenaga Atom Nasional (= National Nuclear Energy Agency),인도네시아원자력청 (1964년 원자력연구소가 승격됨),BATAN
59,Brown Boveri & Cie et AG,"회사명 (1988년 ABB에 합병, 스위스)",BBC
